race,feature,feature_description,category,min,max,mean,is_binary,units
White,X30530.0.0,Sodium in urine,Urine biochemistry,10.0,380.7,76.4102165358919,,millimole/L
White,X1807.0.0,Father's age at death,Family history,1.0,120.0,70.07137060290593,,years
White,X1873.0.0,Number of full brothers,Family history,0.0,23.0,1.0909751637421572,,
White,X1883.0.0,Number of full sisters,Family history,0.0,20.0,1.0160468373554608,,
White,X87.0.0,Non-cancer illness year/age first occurred,Medical condition,0.0,2010.0,835.5856279837518,False,
White,X92.0.0,Operation year/age first occurred,Operation,0.0,2010.0,1216.618319203443,False,
White,X134.0.0,Number of self-reported cancers,Medical condition,0.0,6.0,0.0920621870570062,,
White,X135.0.0,Number of self-reported non-cancer illnesses,Medical condition,0.0,29.0,1.8677793999546544,,
White,X136.0.0,"Number of operations, self-reported",Operation,0.0,32.0,1.7626686952118,,
White,X137.0.0,Number of treatments/medications taken,Medication history,0.0,48.0,2.460639373128699,False,
White,X2050.0.0,Frequency of depressed mood in last 2 weeks,Mental health,1.0,4.0,1.302414971680182,,
White,X2060.0.0,Frequency of unenthusiasm / disinterest in last 2 weeks,Mental health,1.0,4.0,1.276540426460648,,
White,X2070.0.0,Frequency of tenseness / restlessness in last 2 weeks,Mental health,1.0,4.0,1.3293320421841328,,
White,X2080.0.0,Frequency of tiredness / lethargy in last 2 weeks,Mental health,1.0,4.0,1.713530155891433,False,
White,X2217.0.0,Age started wearing glasses or contact lenses,Other health,1.0,70.0,31.53673312412196,,
White,X2296.0.0,Falls in the last year,Other health,1.0,3.0,1.2638542498797494,False,
White,X20008.0.0,Interpolated Year when non-cancer illness first diagnosed,Medical condition,1938.5,2010.7,1995.009025260049,,years
White,X20009.0.0,Interpolated Age of participant when non-cancer illness first diagnosed,Medical condition,0.0,70.3,43.293185656377744,,years
White,X20010.0.0,Interpolated Year when operation took place,Operation,1938.5,2010.53,1984.9783266621607,,years
White,X20011.0.0,Interpolated Age of participant when operation took place,Operation,0.0,70.1,33.26265958371033,,years
White,X20127.0.0,Neuroticism score,Mental health,0.0,12.0,4.202156671208291,,
White,X6138.0.0,Education,Socio-demographics,1.0,6.0,2.630581589257752,,
White,X864.0.0,Number of days/week walked 10+ minutes,Physical activity,0.0,7.0,5.372679480686795,,days/week
White,X874.0.0,Duration of walks,Physical activity,0.0,1440.0,61.34237420300849,,minutes/day
White,X884.0.0,Number of days/week of moderate physical activity 10+ minutes,Physical activity,0.0,7.0,3.584138359209291,,days/week
White,X894.0.0,Duration of moderate activity,Physical activity,0.0,1440.0,60.42548592908709,,minutes/day
White,X904.0.0,Number of days/week of vigorous physical activity 10+ minutes,Physical activity,0.0,7.0,1.8008501242766422,,days/week
White,X924.0.0,Usual walking pace,Physical activity,1.0,3.0,2.3166119623419523,,
White,X943.0.0,Frequency of stair climbing in last 4 weeks,Physical activity,0.0,5.0,2.183062778245125,,
White,X1031.0.0,Frequency of friend/family visits,Social Support,1.0,7.0,2.758117182384713,,
White,X1050.0.0,Time spend outdoors in summer,Sun Exposoure,0.0,24.0,3.908895580074206,,hours/day
White,X1060.0.0,Time spent outdoors in winter,Sun Exposoure,0.0,24.0,2.0885871027756178,,hours/day
White,X1070.0.0,Time spent watching television (TV),Physical activity,0.0,24.0,2.893397551760745,False,hours/day
White,X1080.0.0,Time spent using computer,Physical activity,0.0,24.0,1.2161078632257682,,hours/day
White,X1100.0.0,Drive faster than motorway speed limit,Physical activity,1.0,4.0,1.6842059538364718,False,
White,X1110.0.0,Length of mobile phone use,Electronic device use,0.0,4.0,2.6425134182751293,False,
White,X1120.0.0,Weekly usage of mobile phone in last 3 months,Electronic device use,0.0,5.0,1.3608726699453946,,
White,X1130.0.0,Hands-free device/speakerphone use with mobile phone in last 3 month,Electronic device use,0.0,4.0,0.2804901563999822,,
White,X1160.0.0,Sleep duration,Sleep,1.0,23.0,7.166365422063818,,hours/day
White,X1170.0.0,Getting up in morning,Sleep,1.0,4.0,3.111128533620381,,
White,X1180.0.0,Morning/evening person (chronotype),Sleep,1.0,4.0,2.1968169075564012,,
White,X1190.0.0,Nap during day,Sleep,1.0,3.0,1.487488637110086,,
White,X1200.0.0,Sleeplessness / insomnia,Sleep,1.0,3.0,2.046585199955078,False,
White,X1220.0.0,Daytime dozing / sleeping,Sleep,0.0,3.0,0.2599511369246775,,
White,X1269.0.0,Exposure to tobacco smoke at home,Smoking,0.0,168.0,0.5982781381176485,,hours/week
White,X1279.0.0,Exposure to tobacco smoke outside home,Smoking,0.0,168.0,0.547096927305051,,hours/week
White,X1289.0.0,Cooked vegetable intake,Diet,0.0,50.0,2.7406781923628665,,tablespoons/day
White,X1299.0.0,Salad / raw vegetable intake,Diet,0.0,50.0,2.216171431840672,,tablespoons/day
White,X1309.0.0,Fresh fruit intake,Diet,0.0,50.0,2.2573342289444853,,pieces/day
White,X1319.0.0,Dried fruit intake,Diet,0.0,100.0,0.8551737436193003,,pieces/day
White,X1329.0.0,Oily fish intake,Diet,0.0,5.0,1.6411043139781027,,
White,X1339.0.0,Non-oily fish intake,Diet,0.0,5.0,1.7972648543960876,,
White,X1349.0.0,Processed meat intake,Diet,0.0,5.0,1.888131951492909,,
White,X1359.0.0,Poultry intake,Diet,0.0,5.0,2.2975562105477283,,
White,X1369.0.0,Beef intake,Diet,0.0,5.0,1.4600778503637184,,
White,X1379.0.0,Lamb/mutton intake,Diet,0.0,5.0,1.1009723879126398,,
White,X1389.0.0,Pork intake,Diet,0.0,5.0,1.139158054885142,,
White,X1408.0.0,Cheese intake,Diet,0.0,5.0,2.5407993965219493,,
White,X1438.0.0,Bread intake,Diet,0.0,200.0,12.548796328276802,,slices/week
White,X1458.0.0,Cereal intake,Diet,0.0,55.0,4.733520366324738,,bowls/week
White,X1478.0.0,Salt added to food,Diet,1.0,4.0,1.6445476139520396,,
White,X1488.0.0,Tea intake,Diet,0.0,81.0,3.543903663883067,,cups/day
White,X1518.0.0,Hot drink temperature,Diet,1.0,3.0,1.984762603007643,,
White,X1528.0.0,Water intake,Diet,0.0,80.0,2.7823601331550587,False,glasses/day
White,X1548.0.0,Variation in diet,Diet,1.0,3.0,1.731066617789465,,
White,X1558.0.0,Alcohol intake frequency,Alcohol,1.0,6.0,2.8733882707429688,,
White,X1727.0.0,Ease of skin tanning,Sun Exposoure,1.0,4.0,2.36189612464534,,
White,X1737.0.0,Childhood sunburn occasions,Sun Exposoure,0.0,999.0,1.680633397678898,,times
White,X2110.0.0,Able to confide,Social Support,0.0,5.0,3.5759316510252557,,
White,X2139.0.0,Age first had sexual intercourse,Sexual factors,3.0,69.0,19.14224113270796,,years
White,X2149.0.0,Lifetime number of sexual partners,Sexual factors,1.0,17000.0,7.702467097944403,,
White,X2277.0.0,Frequency of solarium/sunlamp use,Sun Exposoure,0.0,900.0,0.5566406953558889,,times/year
White,X22033.0.0,Summed days activity,Physical activity,0.0,21.0,10.646602999167252,False,days
White,X22034.0.0,Summed minutes activity,Physical activity,0.0,540.0,127.35170183776866,,minutes
White,X22037.0.0,MET minutes per week for walking,Physical activity,0.0,4158.0,1039.509579790266,,minutes/week
White,X22038.0.0,MET minutes per week for moderate activity,Physical activity,0.0,5040.0,948.668470602694,,minutes/week
White,X22039.0.0,MET minutes per week for vigorous activity,Physical activity,0.0,10080.0,664.0236644763747,False,minutes/week
White,X6142.0.0,Current employment status,Socio-demographics,0.0,1.0,0.5744441454365151,True,
White,X1140.0.0,Difference in mobile phone use compared to two years previously,Electronic device use,0.0,1.0,0.5393521510559807,,
White,X6144.0.0,"Never eat eggs, dairy, wheat, sugar",Diet,0.0,1.0,0.0263555477389703,,
White,X6162.0.0,Types of transport used (excluding work),Physical activity,0.0,1.0,0.7915563927777578,,
White,X1210.0.0,Snoring,Sleep,0.0,1.0,0.6279456106930886,,
White,X1468.0.0,Cereal type,Diet,0.0,1.0,0.2542151289065562,True,
White,X6164,Types of physical activity in last 4 weeks,Physical activity,0.0,1.0,0.5401298071116328,,
White,X3059,Blow result ranking,Spirometry,0.0,1.0,0.7327596618997269,,
White,X2247.0.0,Hearing difficulty/problems,Other health,0.0,1.0,0.2649497490099188,True,
White,X1150.0.0,Usual side of head for mobile phone use,Electronic device use,0.0,1.0,0.576544028682159,True,
White,X1249.0.0,Past tobacco smoking,Smoking,0.0,1.0,0.4316796311325172,,
White,X1418.0.0,Milk type used,Diet,0.0,1.0,0.649033439210393,,
White,X1428.0.0,Spread type,Diet,0.0,1.0,0.3652313579739411,,
White,X1448.0.0,Bread type,Diet,0.0,1.0,0.5748149623567852,,
White,X1508.0.0,Coffee type,Diet,0.0,1.0,0.5617346603634853,,
White,X1717.0.0,Skin colour,Sun Exposoure,0.0,1.0,0.792757839599433,,
White,X1747.0.0,"Hair colour (natural, before greying)",Sun Exposoure,0.0,1.0,0.7831886441026337,,
White,X1757.0.0,Facial ageing,Sun Exposoure,0.0,1.0,0.7349231137602743,True,
White,X1647.0.0,Country of birth (UK/elsewhere),Early life factors,0.0,1.0,0.8118602083779196,,
White,X1707.0.0,Handedness (chirality/laterality),Early life factors,0.0,1.0,0.8880323606628935,,
White,APOE4status,APOE4 status,Medical condition,0.0,1.0,0.3072843275817863,True,
White,History_of_Diabetes_p2443_i0,History of Diabetes diagnosed by doctor,Medical condition,0.0,1.0,0.0487083916928534,,
White,Physical_Activity_p22032_i0,IPAQ activity group,Physical activity,0.0,1.0,0.8122945939130932,,
White,X1797.0.0,Father still alive,Family history,0.0,1.0,0.2307159309305809,,
White,X1835.0.0,Mother still alive,Family history,0.0,1.0,0.3962083440163922,True,
White,X1920.0.0,Mood swings,Mental health,0.0,1.0,0.4523118845763469,,
White,X1930.0.0,Miserableness,Mental health,0.0,1.0,0.4305714182793671,,
White,X1940.0.0,Irritability,Mental health,0.0,1.0,0.2851412600570846,,
White,X1950.0.0,Sensitivity / hurt feelings,Mental health,0.0,1.0,0.5553227060735574,,
White,X1960.0.0,Fed-up feelings,Mental health,0.0,1.0,0.4078710658973452,,
White,X1970.0.0,Nervous feelings,Mental health,0.0,1.0,0.240316910734832,,
White,X1980.0.0,Worrier / anxious feelings,Mental health,0.0,1.0,0.566334909128665,,
